Designator,"Mid X","Mid Y",Layer,Rotation
D1,-26.5,2.5,top,90
D2,-26.5,-2.5,top,90
D3,-21.5,2.5,top,90
D4,-21.5,-2.5,top,90
D5,-26.5,21.5,top,90
D6,-21.5,21.5,top,90
D7,-21.5,-21.5,top,90
D8,-26.5,-21.5,top,90
D9,-26.5,26.5,top,90
D10,-21.5,26.5,top,90
D11,-21.5,-26.5,top,90
D12,-26.5,-26.5,top,90
D13,-2.5,26.5,top,0
D14,-2.5,21.5,top,0
D15,-2.5,-21.5,top,180
D16,-2.5,-26.5,top,180
D17,2.5,26.5,top,0
D18,2.5,21.5,top,0
D19,2.5,-21.5,top,180
D20,2.5,-26.5,top,180
D21,21.5,26.5,top,0
D22,21.5,21.5,top,0
D23,21.5,-21.5,top,180
D24,21.5,-26.5,top,180
D25,-2.5,2.5,top,0
D26,-2.5,-2.5,top,0
D27,26.5,26.5,top,0
D28,26.5,21.5,top,0
D29,26.5,-21.5,top,180
D30,26.5,-26.5,top,180
D31,2.5,2.5,top,0
D32,2.5,-2.5,top,0
D33,21.5,2.5,top,0
D34,21.5,-2.5,top,0
D35,26.5,2.5,top,0
D36,26.5,-2.5,top,0
Q1,13.26,12,top,180
Q2,-10.74,12,top,180
Q3,13.26,-12,top,180
Q4,-10.74,-12,top,180
